start,end,average_temp
2005,2006,23.4864692307692
2006,2007,26.4824752981261
2007,2008,25.661031120332
2008,2009,25.2627088404133
2009,2010,26.1211477659574
2010,2011,25.8998907758621
2011,2012,24.7853800515907
2012,2013,25.6489519963702
2013,2014,25.7997021996616
2014,2015,24.9247001610306
2015,2016,26.3156780387551
2016,2017,27.3143201467269
2017,2018,27.0195443588332
2018,2019,26.3797628795812
2019,2020,26.0785205141939
2020,2021,27.0461945048655
2021,2022,26.1616097838453
2022,2023,27.7586874453467
